,Name,IATA code,ICAO code,co2_emission_per_km,price_per_km
0,Boeing 767,767,\N,134.2915026,0.175385096
1,Airbus A320neo,32N,A20N,188.6452098,0.318181587
2,Boeing 777,777,\N,188.6452098,0.318181587
3,Boeing 747,747,\N,132.6426732,0.145825189
4,Airbus A320,320,A320,188.6452098,0.318181587
5,Airbus A319,319,A319,188.6452098,0.318181587
6,Boeing 737,737,\N,188.6452098,0.318181587
7,Airbus A318,318,A318,136.097661,0.186063586
8,Embraer 190,E90,E190,136.097661,0.186063586
9,Airbus A350,350,\N,132.6426732,0.145825189
10,Airbus A330,330,\N,188.6452098,0.318181587
11,Boeing 787,787,\N,132.6426732,0.145825189
12,Airbus A321,321,A321,188.6452098,0.318181587
13,Airbus A321neo,32Q,A21N,188.6452098,0.318181587
14,Airbus A380,380,\N,125.2061792,0.333727561
15,Airbus A340,340,\N,132.6426732,0.145825189
16,Boeing 787-10,78J,B78X,132.6426732,0.145825189
17,Embraer 175,E75,\N,136.097661,0.186063586
18,Embraer 170,E70,E170,551.6627744,1.010443551
19,Embraer 195,E95,E195,136.097661,0.186063586
20,Boeing 757,757,\N,134.2915026,0.175385096
21,Airbus A330-900neo,339,A339,150.5536958,0.334251675
22,Boeing 717,717,B712,105.1662307,0.295143938
23,Fokker 100,100,F100,111.7459759,0.155322853
24,Airbus A319neo,31N,A19N,310.0658371,0.687804774
25,Fokker 70,F70,F70,127.8474197,0.338016105
